"sf","sm","hf","hm","r","sI"
0.05263157894736842,0.05,0.5,0.5,0.266,0.02184887288423668282827583602829801877369106831468
0.05263157894736842,0.05,0.5,0.5,0.268,0.02189886745545866628470617692902173263876409611324
0.05263157894736842,0.05,0.5,0.5,0.27,0.02194859149655387984707864118675338765109992194834
0.05263157894736842,0.05,0.5,0.5,0.272,0.02199804744541058346563261608841805086167023035937
0.05263157894736842,0.05,0.5,0.5,0.274,0.02204723770237807122907793223730743778999553158474
0.05263157894736842,0.05,0.5,0.5,0.276,0.02209616463124567528621387842104841181055382759768
0.05263157894736842,0.05,0.5,0.5,0.278,0.02214483056018445779018970655361845880238218641539
0.05263157894736842,0.05,0.5,0.5,0.28,0.02219323778265338240880650074409516211052241554778
0.05263157894736842,0.05,0.5,0.5,0.282,0.02224138855827165674452012529644755762229348317972
0.05263157894736842,0.05,0.5,0.5,0.284,0.02228928511365884311003096661201542753553232927613
0.05263157894736842,0.05,0.5,0.5,0.286,0.02233692964324424707173282791091327179690285486917
0.05263157894736842,0.05,0.5,0.5,0.288,0.02238432431004701059925112395427253116451350005228
0.05263157894736842,0.05,0.5,0.5,0.29,0.02243147124642825917072714607639153072658647967224
0.05263157894736842,0.05,0.5,0.5,0.292,0.02247837255481657943429775446963221725710915279971
0.05263157894736842,0.05,0.5,0.5,0.294,0.0225250303084080356960055260624365497639808397301
0.05263157894736842,0.05,0.5,0.5,0.296,0.02257144655184186929643863653564327538424705021782
0.05263157894736842,0.05,0.5,0.5,0.298,0.02261762330185296457779421982456737232750155304288
0.05263157894736842,0.05,0.5,0.5,0.3,0.02266356254790210837487195410039220764339304681651
0.05263157894736842,0.05,0.5,0.5,0.302,0.02270926625278501655127954175959542705657375481113
0.05263157894736842,0.05,0.5,0.5,0.304,0.02275473635322105082641965433761137317117126036217
0.05263157894736842,0.05,0.5,0.5,0.306,0.02279997476042250179586233180221316546133255724362
0.05263157894736842,0.05,0.5,0.5,0.308,0.02284498336064526944818959436197516010316260585256
0.05263157894736842,0.05,0.5,0.5,0.31,0.02288976401572173044938725889150786672014077207229
0.05263157894736842,0.05,0.5,0.5,0.312,0.02293431856357654183774414239019255495365782516953
0.05263157894736842,0.05,0.5,0.5,0.314,0.02297864881872609339578990975229001295832502477659
0.05263157894736842,0.05,0.5,0.5,0.316,0.0230227565727622856993857879361129294772111755111
0.05263157894736842,0.05,0.5,0.5,0.318,0.02306664359482127755574982984665100082270724293886
0.05263157894736842,0.05,0.5,0.5,0.32,0.0231103116320378151090429119620461094039657716711
0.05263157894736842,0.05,0.5,0.5,0.322,0.02315376240998572519960730625147911196208945365336
0.05263157894736842,0.05,0.5,0.5,0.324,0.02319699763310512750421710245745960254656833713663
0.05263157894736842,0.05,0.5,0.5,0.326,0.02324001898511689346011978522314083708410650579354
0.05263157894736842,0.05,0.5,0.5,0.328,0.02328282812942485489222019626759406293744511034358
0.05263157894736842,0.05,0.5,0.5,0.33,0.02332542670950624153364888502752899246848727261673
0.05263157894736842,0.05,0.5,0.5,0.332,0.02336781634929080417405765494683044809818667243088
0.05263157894736842,0.05,0.5,0.5,0.334,0.02340999865352905891150226392802653789289130921794
0.05263157894736842,0.05,0.5,0.5,0.336,0.02345197520815006785184956093433030435450345851478
0.05263157894736842,0.05,0.5,0.5,0.338,0.02349374758060915252801642357487713315957686959061
0.05263157894736842,0.05,0.5,0.5,0.34,0.02353531732022591823800982637379684472736380552986
0.05263157894736842,0.05,0.5,0.5,0.342,0.02357668595851295036765900697386705452940022652897
0.05263157894736842,0.05,0.5,0.5,0.344,0.02361785500949552751677298791248741517174741815131
0.05263157894736842,0.05,0.5,0.5,0.346,0.02365882597002268083531893380099140186552390766826
0.05263157894736842,0.05,0.5,0.5,0.348,0.02369960032006991435140060586060779115121147944319
0.05263157894736842,0.05,0.5,0.5,0.35,0.02374017952303388719060697992761957564352021792185
0.05263157894736842,0.05,0.5,0.5,0.352,0.02378056502601934540476575673434674020643059531668
0.05263157894736842,0.05,0.5,0.5,0.354,0.02382075826011857860793555859440745572151395227138
0.05263157894736842,0.05,0.5,0.5,0.356,0.02386076064068366472168429526509965758174184761221
0.05263157894736842,0.05,0.5,0.5,0.358,0.02390057356759175482566793521358524914611036927551
0.05263157894736842,0.05,0.5,0.5,0.36,0.02394019842550363936069054567716364557112661605497
