"sf","sm","hf","hm","r","sI"
0.05,0.05,0.25,0.25,0.196,0.012347324996001915606482933352070628817763096233422
0.05,0.05,0.25,0.25,0.198,0.012352402639911245375176707632929252085430271060652
0.05,0.05,0.25,0.25,0.2,0.012357380745444065349092493037715519930316327211861
0.05,0.05,0.25,0.25,0.202,0.012362262210535935581129887561163112773929520630879
0.05,0.05,0.25,0.25,0.204,0.012367049821734607135005751159261385532950355603017
0.05,0.05,0.25,0.25,0.206,0.01237174625949959288499720076242250483975069496403
0.05,0.05,0.25,0.25,0.208,0.012376354103202098253649926342996656226122054343089
0.05,0.05,0.25,0.25,0.21,0.012380875835844887277328523611568364094155501819269
0.05,0.05,0.25,0.25,0.212,0.012385313848520211797647742919544337786860483944852
0.05,0.05,0.25,0.25,0.214,0.012389670444622603272577006283596969636566365631597
0.05,0.05,0.25,0.25,0.216,0.012393947843832106865292153272232871565209700945439
0.05,0.05,0.25,0.25,0.218,0.0123981481858824163518727533449534455248897979538
0.05,0.05,0.25,0.25,0.22,0.012402273534127337195988867600828202668106215341093
0.05,0.05,0.25,0.25,0.222,0.012406325878918055929010161541183471398350098999885
0.05,0.05,0.25,0.25,0.224,0.012410307140802819571041347187269493944949958858139
0.05,0.05,0.25,0.25,0.226,0.0124142191735598227405668174240608876341534129853
0.05,0.05,0.25,0.25,0.228,0.012418063767073356450142049111242752668422470558136
0.05,0.05,0.25,0.25,0.23,0.012421842650062586046690265829381714384712982687613
0.05,0.05,0.25,0.25,0.232,0.012425557492671691496642599078460299141036023118262
0.05,0.05,0.25,0.25,0.234,0.012429209908929516853164227070194062563774534302757
0.05,0.05,0.25,0.25,0.236,0.012432801459086333290929763619819261706001298323087
0.05,0.05,0.25,0.25,0.238,0.012436333651834817930682198942099096711019815113153
0.05,0.05,0.25,0.25,0.24,0.012439807946421885504438610195656063600927997906529
0.05,0.05,0.25,0.25,0.242,0.012443225754657578730245229083577140989808866482861
0.05,0.05,0.25,0.25,0.244,0.012446588442826823336220474062047293022267069599315
0.05,0.05,0.25,0.25,0.246,0.012449897333509482501013031531484451806463876882614
0.05,0.05,0.25,0.25,0.248,0.012453153707313800783025118880699116965476384016081
0.05,0.05,0.25,0.25,0.25,0.012456358804528007312106436010688603185250207399341
0.05,0.05,0.25,0.25,0.252,0.012459513826694550211792922298548126674006324392776
0.05,0.05,0.25,0.25,0.254,0.012462619938111157166431119226426702691693634555088
0.05,0.05,0.25,0.25,0.256,0.012465678267262659151657408051156258811784636881906
0.05,0.05,0.25,0.25,0.258,0.012468689908187274148287036338046143611580050603474
0.05,0.05,0.25,0.25,0.26,0.012471655921780823819812026684683371995871388416129
0.05,0.05,0.25,0.25,0.262,0.01247457733704214742407412471975698774614142660718
0.05,0.05,0.25,0.25,0.264,0.012477455152262782522612697660727576298397663120323
0.05,0.05,0.25,0.25,0.266,0.012480290336163800310777503147676908633406893516687
0.05,0.05,0.25,0.25,0.268,0.012483083828982513665696409412382367449694902151948
0.05,0.05,0.25,0.25,0.27,0.012485836543511617421700647627697121151558923595195
0.05,0.05,0.25,0.25,0.272,0.012488549366093172127657335367370442910633403926019
0.05,0.05,0.25,0.25,0.274,0.012491223157569703875373885338153956385874566026492
0.05,0.05,0.25,0.25,0.276,0.012493858754194563028612917675012558695643246368191
0.05,0.05,0.25,0.25,0.278,0.012496456968503563197388620770964259558261955773019
0.05,0.05,0.25,0.25,0.28,0.01249901859014980801001499760649450087454043625572
0.05,0.05,0.25,0.25,0.282,0.012501544386703506598471680225973153791998218208544
0.05,0.05,0.25,0.25,0.284,0.012504035104418478734671040461925833732932311150608
0.05,0.05,0.25,0.25,0.286,0.012506491468966956777388477292595268690818414200822
0.05,0.05,0.25,0.25,0.288,0.012508914186144203587716600656158763067357693053249
0.05,0.05,0.25,0.25,0.29,0.012511303942544382952392997543108699876389380209383
0.05,0.05,0.25,0.25,0.292,0.012513661406209041455841077619414205132587016633832
0.05,0.05,0.25,0.25,0.294,0.012515987227249487826662252935461023254214085353029
0.05,0.05,0.25,0.25,0.296,0.012518282038444287240689833309313726258833660584371
0.05,0.05,0.25,0.25,0.298,0.012520546455813023601324269201749780304550196967666
0.05,0.05,0.25,0.25,0.3,0.012522781079167422170388974923963955669267985754899
0.05,0.05,0.25,0.25,0.302,0.012524986492640867840120631906699900948599295118728
0.05,0.05,0.25,0.25,0.304,0.012527163265197300587853904329466452575998069757117
0.05,0.05,0.25,0.25,0.306,0.012529311951120419024591510300793906894108639603437
0.05,0.05,0.25,0.25,0.308,0.012531433090484075237217607581197517977017597868151
0.05,0.05,0.25,0.25,0.31,0.012533527209604699145848204300146612169524676999853
0.05,0.05,0.25,0.25,0.312,0.012535594821476548179870487772586147310699228706598
0.05,0.05,0.25,0.25,0.314,0.012537636426190538057704119318806284243197384030133
0.05,0.05,0.25,0.25,0.316,0.012539652511337372686373988162087116278527787141882
0.05,0.05,0.25,0.25,0.318,0.012541643552395655537996866940930398259653943708233
0.05,0.05,0.25,0.25,0.32,0.012543610013105631181107049665846882402277018122972
0.05,0.05,0.25,0.25,0.322,0.012545552345829173824006909114745318283127244846388
0.05,0.05,0.25,0.25,0.324,0.012547470991896609651789790214953875239371081830419
0.05,0.05,0.25,0.25,0.326,0.012549366381940931302650056801846017988212135989358
0.05,0.05,0.25,0.25,0.328,0.01255123893621993593387186897250872042465229003914
0.05,0.05,0.25,0.25,0.33,0.012553089064926792881273572534125194733604326379115
0.05,0.05,0.25,0.25,0.332,0.012554917168489522831709806706819237928470524522119
0.05,0.05,0.25,0.25,0.334,0.012556723637859847625934211788304846598459856810341
0.05,0.05,0.25,0.25,0.336,0.012558508854791848213346585428468622919613537640797
0.05,0.05,0.25,0.25,0.338,0.012560273192110847820377918265110254265519301952592
0.05,0.05,0.25,0.25,0.34,0.012562017013972918004499494503552098228176540899333
0.05,0.05,0.25,0.25,0.342,0.012563740676115386884266560509913067423118833397172
0.05,0.05,0.25,0.25,0.344,0.012565444526098711404516176218513556941112626117833
0.05,0.05,0.25,0.25,0.346,0.012567128903540058960563300532570187466636580824467
0.05,0.05,0.25,0.25,0.348,0.012568794140338928015098952858036309241132383734989
0.05,0.05,0.25,0.25,0.35,0.012570440560895122448769352153187157500160766088777
0.05,0.05,0.25,0.25,0.352,0.012572068482319380245332198906845191603482068891664
0.05,0.05,0.25,0.25,0.354,0.012573678214636943682822278299617614891506078413957
0.05,0.05,0.25,0.25,0.356,0.012575270060984345443856306226846264715681253176841
0.05,0.05,0.25,0.25,0.358,0.012576844317799672934005808332524779348375854378885
0.05,0.05,0.25,0.25,0.36,0.012578401275006561572244732357751460114845753731393
0.05,0.05,0.25,0.25,0.362,0.012579941216192156859105201317522170416090609189977
0.05,0.05,0.25,0.25,0.364,0.01258146441877927460557558510030792377184069190377
0.05,0.05,0.25,0.25,0.366,0.012582971154192978790003921221916707431234841813159
0.05,0.05,0.25,0.25,0.368,0.012584461688021787074091522517058242539254959996091
0.05,0.05,0.25,0.25,0.37,0.012585936280173705026842378557472336386029788927906
0.05,0.05,0.25,0.25,0.372,0.012587395185027281552938701094066738074067081920982
0.05,0.05,0.25,0.25,0.374,0.01258883865157786987671058598021664418161798588844
0.05,0.05,0.25,0.25,0.376,0.012590266923579270673242450621222011379394715682892
0.05,0.05,0.25,0.25,0.378,0.012591680239680926544027541127355552087024961559757
0.05,0.05,0.25,0.25,0.38,0.012593078833560829986916973781501482214090141238419
0.05,0.05,0.25,0.25,0.382,0.012594462934054300290967957460538879197325446098655
0.05,0.05,0.25,0.25,0.384,0.012595832765278778379250398887927270081104368865112
0.05,0.05,0.25,0.25,0.386,0.01259718854675478251074972766843673673260083718791
0.05,0.05,0.25,0.25,0.388,0.012598530493523161921130149581769663928977306602299
0.05,0.05,0.25,0.25,0.39,0.012599858816258779917061707109069692563052832393514
0.05,0.05,0.25,0.25,0.392,0.012601173721380752626621998807162472335327470739184
0.05,0.05,0.25,0.25,0.394,0.012602475411159364536257489753294175462316149144618
0.05,0.05,0.25,0.25,0.396,0.01260376408381977710092659883872479628440089242146
0.05,0.05,0.25,0.25,0.398,0.01260503993364264208700033495890435762546176467745
0.05,0.05,0.25,0.25,0.4,0.012606303151061726886536943030073724213972667598202
0.05,0.05,0.25,0.25,0.402,0.012607553922758654816526702674280890205297268437924
0.05,0.05,0.25,0.25,0.404,0.01260879243175485937802054260448989301613011996315
0.05,0.05,0.25,0.25,0.406,0.012610018857500847588625291923847772867211853939402
0.05,0.05,0.25,0.25,0.408,0.012611233375962863809067957813309605734279086996035
0.05,0.05,0.25,0.25,0.41,0.012612436159707041952257041629546143781752763203431
0.05,0.05,0.25,0.25,0.412,0.012613627377981130583786753630868014786369590856835
0.05,0.05,0.25,0.25,0.414,0.012614807196793872188832051697285373136313824181974
0.05,0.05,0.25,0.25,0.416,0.012615975778992114784943344204857073020108176997751
0.05,0.05,0.25,0.25,0.418,0.012617133284335731096804984467104821183193489056813
0.05,0.05,0.25,0.25,0.42,0.012618279869570417671347338620789738511533366853735
0.05,0.05,0.25,0.25,0.422,0.012619415688498443593795524544912531051640483883515
0.05,0.05,0.25,0.25,0.424,0.012620540892047415861699481105316233106442759157595
0.05,0.05,0.25,0.25,0.426,0.012621655628337125979406789925164498736746028812689
0.05,0.05,0.25,0.25,0.428,0.012622760042744539944769059262071613952714439797982
0.05,0.05,0.25,0.25,0.43,0.012623854277966991508327632539542753834135827955282
0.05,0.05,0.25,0.25,0.432,0.01262493847408363638825930246788002840719225799019
0.05,0.05,0.25,0.25,0.434,0.012626012768615223017660229079861226085303443537857
0.05,0.05,0.25,0.25,0.436,0.012627077296582233380204799855496088199764353493592
0.05,0.05,0.25,0.25,0.438,0.012628132190561445551938233519033451338986344759889
0.05,0.05,0.25,0.25,0.44,0.012629177580740967707242868105847031373765566741801
