"sf","sm","hf","hm","r","Xm","Xf","Y"
0.05,0.05,0.25,0.25,0.066,0.4810614668780868026308618242997114376251877395653,0.4686916583593265590349591093383434483295882368718,0.56587308051265498428229160681402903778722625249542
0.05,0.05,0.25,0.25,0.068,0.4820001399490290908744139554524739451265947617301,0.4696156617418960670089969004188716807054969325565,0.56395006730019327510448296507259961465793694468375
0.05,0.05,0.25,0.25,0.07,0.4828811237719395343270209743140671998926540510048,0.4704829496145893056493446855110352024896515671171,0.56213037730812982195504596501826436273143358452705
0.05,0.05,0.25,0.25,0.072,0.4837094500232666722360970774710654857442159605218,0.4712984624764083837149938355285400512788942502217,0.56040597783994495986836719286226980668542492199822
0.05,0.05,0.25,0.25,0.074,0.484489593036147429343470031214060125813796316408,0.4720665942772124885820963307575950874185825927929,0.55876963994377930981841441099357611495105583750198
0.05,0.05,0.25,0.25,0.076,0.4852255436437968637663672561395928739961366024142,0.4727912647378678354237991873606042325984456928978,0.55721484132578820869500840843911571096632643609226
0.05,0.05,0.25,0.25,0.078,0.4859208717504399123237371814021477563000845513797,0.4734759806449264264170439086825267668098575086562,0.55573568285900655239881106889707381652228952134057
0.05,0.05,0.25,0.25,0.08,0.4865787795622809156127861232080950509913826448051,0.4741238880074526639729417481087682834834046127782,0.55432681654167297506426078889683936608430633388655
0.05,0.05,0.25,0.25,0.082,0.4872021470458191196955905414223978376337598980282,0.4747378166074018412724919196890343427798411344419,0.55298338313296948044289611576539544928694210345628
0.05,0.05,0.25,0.25,0.084,0.4877935708906284069193301454243157759375831964857,0.4753203181917901145649285361486245839861466224473,0.55170095799733148693242156929216038724012776444815
0.05,0.05,0.25,0.25,0.086,0.4883553980219751300142587043681352904488510440407,0.4758736993286832990456546566924691700147298477249,0.55047550393524492455410274491376117182892618015103
0.05,0.05,0.25,0.25,0.088,0.4888897545226873431568689699617400658036044184257,0.4764000497674510954392436254144893531674699734463,0.54930332998005148113268699358294876030425720664572
0.05,0.05,0.25,0.25,0.09,0.4893985706737740834871724743453703519740422672253,0.4769012669973044175344866004602611633124191372298,0.54818105530561638478749589547407107617822146069958
0.05,0.05,0.25,0.25,0.092,0.4898836027018964084001757393522222137597987403211,0.4773790775795245827982915039636972467956560685186,0.54710557752580144503861765050407952233033992969192
0.05,0.05,0.25,0.25,0.094,0.4903464517230631233561444857248133008043031995138,0.4778350557323051492226200687928373489149639148295,0.54607404477910586110413530483769314559880420899243
0.05,0.05,0.25,0.25,0.096,0.4907885802912960754572645113709001800651452352111,0.4782706395683084551700623585267540988990471853265,0.5450838310850308131122048894546880257332539896731
0.05,0.05,0.25,0.25,0.098,0.4912113268948991358774985393258987587019700220212,0.4786871453203956550819792690306309750026928376534,0.54413251453624298735056466063109668404841802231259
0.05,0.05,0.25,0.25,0.1,0.4916159186885472072865281448581065183743783176838,0.4790857798377666144235101874108474077998518675396,0.54321785795530735410969885324183644456206696904795
0.05,0.05,0.25,0.25,0.102,0.4920034827044507391840024222422807642311288277672,0.4794676515907629051359305635425087108768554121758,0.54233779169892642173039563253282493203621956254058
0.05,0.05,0.25,0.25,0.104,0.4923750557485693744797708552239490757068533080865,0.4798337803861082069542415369038016176080870684857,0.54149039833811734796501181796729325433764375003403
0.05,0.05,0.25,0.25,0.106,0.4927315931568258511982046529989977516945356037495,0.480185105963999832190045862678671087048692087231,0.54067389898108464902676713222522598243484326621284
0.05,0.05,0.25,0.25,0.108,0.4930739765603699964918203420886100662023055852108,0.4805224956231114983839604141741029894735527597212,0.53988664103792958607737231357443743769999921533398
0.05,0.05,0.25,0.25,0.11,0.4934030207872465055619062546820516126713505769215,0.4808467509983261390529295052835435506921685581419,0.53912708725377771834674487541405364848467686939217
0.05,0.05,0.25,0.25,0.112,0.4937194800095890541909563448797864525560385789731,0.4811586140981653862037274117937176625535709933275,0.53839380586022287399607138321862083577183924118981
0.05,0.05,0.25,0.25,0.114,0.4940240532300969384803112914975742484191451304089,0.4814587726938328644950953752203276826781049482042,0.537685461714852203119612168349068987928702697399
0.05,0.05,0.25,0.25,0.116,0.4943173891885603860059604775951111445909551750013,0.4817478651390641631418717292707718434295799377957,0.53700080831558808737851925595661646782002106180456
0.05,0.05,0.25,0.25,0.118,0.4946000907581880040765075282765387944398080058216,0.4820264846891872957053864725827424016269117839143,0.53633868059111743453567693171783311456262242282917
0.05,0.05,0.25,0.25,0.12,0.4948727188921276218553221402973668082302030115317,0.4822951833786239726778689475882448297189922920113,0.5356979883811578905395895234113980310925481826711
0.05,0.05,0.25,0.25,0.122,0.4951357961725912932411375138104374196881380590118,0.4825544755082412586621498603742460764050415992504,0.53507771053105030442177322745630180094775882128533
0.05,0.05,0.25,0.25,0.124,0.4953898100081748114339930754463577291707021509857,0.4828048407872783546150091653526520950275084607644,0.53447688953443139058534566559724063058602604617014
0.05,0.05,0.25,0.25,0.126,0.4956352155191183848599645271590870850393164920124,0.4830467271688449440047306648813861416847426975919,0.53389462666575074036575218985119389503897964583125
0.05,0.05,0.25,0.25,0.128,0.4958724381452359974850146373831651142209968428316,0.4832805534130668954673182686662717682229239154819,0.53333007755133728036935362586055508620135204287328
0.05,0.05,0.25,0.25,0.13,0.4961018760069198215478759630235345924118910452249,0.4835067114077182174829006223917339350821044625052,0.53278244813374760775897984385079528267213565145533
0.05,0.05,0.25,0.25,0.132,0.496323902045897217945135264709774840752994709675,0.4837255682725215971037952872091244721118870244383,0.53225099098937353810977098479367130135213282051149
0.05,0.05,0.25,0.25,0.134,0.4965388659691929434654805767870935658936018559884,0.4839374682701370751785717681539218016603414318316,0.53173500196385951967578444676601935206965510987511
0.05,0.05,0.25,0.25,0.136,0.4967470960169540117658545126465442896012131137195,0.4841427345441167879514900290880527701010305930934,0.53123381709387617337037888636568217316488876116579
0.05,0.05,0.25,0.25,0.138,0.4969489005723668333652918938709875370071298144962,0.4843416707017221381081972313259624473876957554522,0.53074680978729380228457761813867860942764010806246
0.05,0.05,0.25,0.25,0.14,0.4971445696297831728985121728711202431651370945205,0.4845345622574267133687147502819788377519843071951,0.53027338823686708432375411145007624827603200397032
0.05,0.05,0.25,0.25,0.142,0.4973343761353286295132763607092387605484706676518,0.4847216779511201766797281009747556192434010762397,0.52981299304523713803505125602269636535921765776264
0.05,0.05,0.25,0.25,0.144,0.497518577212657077132344326695926607655960265263,0.4849032709534482829178917375937394289017023298273,0.52936509504142914892074057507704502991067625691236
0.05,0.05,0.25,0.25,0.146,0.4976974152851047821264288166760031306781166873013,0.4850795799693407657923371206354573887789042033864,0.52892919327111507974146099008431840563381259151053
0.05,0.05,0.25,0.25,0.148,0.4978711191042614949507402535628502252033960450793,0.485250830249565380380565792144845310067250204223,0.52850481314475797968682113827392804327863233959386
0.05,0.05,0.25,0.25,0.15,0.4980399046938894398488024296076763386818715307099,0.485417234519080095685656329530016404510770576442,0.52809150472938828190891839641311451104654118576289
