"sf","sm","hf","hm","r","sI"
0.01,0.01,0.5,0.5,0.002,0.00130118119634736226604869082801244582972022544472
0.01,0.01,0.5,0.5,0.004,0.00178890195678506978633609660745197136622240861161
0.01,0.01,0.5,0.5,0.006,0.002007720625773303992966821064919025817877774291535
0.01,0.01,0.5,0.5,0.008,0.002127279760132987801438197184029663016770859106125
0.01,0.01,0.5,0.5,0.01,0.002201744616921828423664053463901888529568197176822
0.01,0.01,0.5,0.5,0.012,0.002252343733864275562721096156654594689906986109784
0.01,0.01,0.5,0.5,0.014,0.002288886359136166037149928484132220554076782528809
0.01,0.01,0.5,0.5,0.016,0.00231648390914249496137457628802446483227732826466
0.01,0.01,0.5,0.5,0.018,0.002338048463071887595675947635182476403895831664896
0.01,0.01,0.5,0.5,0.02,0.002355356363407374907612891051343906767126596392613
0.01,0.01,0.5,0.5,0.022,0.002369551006851146714384011124524832970585207563725
0.01,0.01,0.5,0.5,0.024,0.002381400971037407460806189031383726095166486888055
0.01,0.01,0.5,0.5,0.026,0.00239144163034913835320140078592032663447248039527
0.01,0.01,0.5,0.5,0.028,0.002400057200115392069477722959804428151418267642648
0.01,0.01,0.5,0.5,0.03,0.002407530479016314733341087510876337122518629275394
0.01,0.01,0.5,0.5,0.032,0.00241407419085556456032181099250608682999023203189
0.01,0.01,0.5,0.5,0.034,0.002419851395137284958720767352726142083833661638493
0.01,0.01,0.5,0.5,0.036,0.002424989164756532519499884507006701152573467667439
0.01,0.01,0.5,0.5,0.038,0.002429587984172292375468150371215396538788576888118
0.01,0.01,0.5,0.5,0.04,0.002433728351293753631464272242184367087642312018114
0.01,0.01,0.5,0.5,0.042,0.00243747550703497913138412804453577156726551019585
0.01,0.01,0.5,0.5,0.044,0.002440882883590629631239195829180798870109657540853
0.01,0.01,0.5,0.5,0.046,0.002443994658606163021117324226494011499193909019193
0.01,0.01,0.5,0.5,0.048,0.002446847674330163711089121954823365410980647200625
0.01,0.01,0.5,0.5,0.05,0.002449472898498329357719525581157740305799134175664
0.01,0.01,0.5,0.5,0.052,0.002451896549656782259821754756536293103835213354095
0.01,0.01,0.5,0.5,0.054,0.002454140973485242748314641277367893849282423003542
0.01,0.01,0.5,0.5,0.056,0.002456225332081313724533341863160254044710896133467
0.01,0.01,0.5,0.5,0.058,0.002458166151159030749006219420412126976242956623342
0.01,0.01,0.5,0.5,0.06,0.002459977758182465151592635117261940889290650302711
0.01,0.01,0.5,0.5,0.062,0.002461672635970173878167100190162054864383175334745
0.01,0.01,0.5,0.5,0.064,0.002463261710196867532694494724907751154384195190712
0.01,0.01,0.5,0.5,0.066,0.002464754584768381037504463731464381143058398178579
0.01,0.01,0.5,0.5,0.068,0.002466159735769077561456853729348602626556311021791
0.01,0.01,0.5,0.5,0.07,0.002467484672243362110019502007282432582644912204358
0.01,0.01,0.5,0.5,0.072,0.002468736070242750405816166677696140699065685609774
0.01,0.01,0.5,0.5,0.074,0.002469919885183425612971311083259237932712495016981
0.01,0.01,0.5,0.5,0.076,0.00247104144650006085210513175772901386229113937576
0.01,0.01,0.5,0.5,0.078,0.002472105537766228830105026790909059774078201011987
0.01,0.01,0.5,0.5,0.08,0.00247311646481922748785793915059253634532015656233
0.01,0.01,0.5,0.5,0.082,0.002474078113933129361863980163289411393025862661593
0.01,0.01,0.5,0.5,0.084,0.002474994001695435905273009475809371697274394508867
0.01,0.01,0.5,0.5,0.086,0.002475867317935395163400572614970892568861981682257
0.01,0.01,0.5,0.5,0.088,0.002476700962807436295437825933880632483601699722162
0.01,0.01,0.5,0.5,0.09,0.00247749757893738401042513777545467791010353799969
0.01,0.01,0.5,0.5,0.092,0.002478259579381552790309017883231296030825170576346
0.01,0.01,0.5,0.5,0.094,0.00247898917202136935548148699537121309988435304132
0.01,0.01,0.5,0.5,0.096,0.0024796883809125721769997532698223495904079977125
0.01,0.01,0.5,0.5,0.098,0.00248035906502343110583870543497711544163450140086
0.01,0.01,0.5,0.5,0.1,0.00248100293472702695978022793082078794789266139849
0.01,0.01,0.5,0.5,0.102,0.002481621566355454845026286139298277103955286835804
0.01,0.01,0.5,0.5,0.104,0.002482216415076518912049344238295742609081569589664
0.01,0.01,0.5,0.5,0.106,0.002482788826314209201741158642895557122029505668806
0.01,0.01,0.5,0.5,0.108,0.002483340045901510669950772488004293144574553377415
0.01,0.01,0.5,0.5,0.11,0.002483871229126703820352967501501963064578799139746
0.01,0.01,0.5,0.5,0.112,0.00248438344881132174453328819221114519316983289399
0.01,0.01,0.5,0.5,0.114,0.002484877702538559665572245870084345726655025983562
0.01,0.01,0.5,0.5,0.116,0.002485354919134566033502681790029266872320099594868
0.01,0.01,0.5,0.5,0.118,0.002485815964491170768591500700227806934036550213813
0.01,0.01,0.5,0.5,0.12,0.002486261646806811340910878340384096934385985542115
0.01,0.01,0.5,0.5,0.122,0.002486692721312360701577780787612524163003485709008
0.01,0.01,0.5,0.5,0.124,0.002487109894539962627513243431467418875952455163452
0.01,0.01,0.5,0.5,0.126,0.002487513828185608620059483321207790232249966693326
0.01,0.01,0.5,0.5,0.128,0.00248790514260985460564441614852234627284556194858
0.01,0.01,0.5,0.5,0.13,0.002488284420015616189552967114792202323475363784073
0.01,0.01,0.5,0.5,0.132,0.002488652207337265468223355019136048161025074478327
0.01,0.01,0.5,0.5,0.134,0.002489009018871169519981229344020421783756992462893
