"sf","sm","hf","hm","r","Xm","Xf","Y"
0.05,0.05,0.5,0.5,0.002,0.075376950821617591382947304850393407446582151848,0.0719525713927596687328097831153159349259900724274,0.92804742860724033126719021688468406507400992757262
0.05,0.05,0.5,0.5,0.004,0.1381133927747615616234274464787801920877739112959,0.1322290576979284162839709821938823090322905602601,0.86777094230207158371602901780611769096770943973994
0.05,0.05,0.5,0.5,0.006,0.1895860309466636454626694841117077572999957265327,0.1819529005601061941215875861800284398565529984966,0.8180470994398938058784124138199715601434470015034
0.05,0.05,0.5,0.5,0.008,0.2315165133604413137096457552368800509267701068808,0.2226410261988030100306257802033884823623658128934,0.77735897380119698996937421979661151763763418710665
0.05,0.05,0.5,0.5,0.01,0.2656509876804727003828777427244598282985901421753,0.2558864455004923962321643153379789878110313980993,0.74411355449950760376783568466202101218896860190069
0.05,0.05,0.5,0.5,0.012,0.2935556879536928839057829931841279984359923396034,0.2831467310437950461195199508236638639033532979028,0.71685326895620495388048004917633613609664670209725
0.05,0.05,0.5,0.5,0.014,0.316534953172107582786042016804174000986312181979,0.3056514334450292190530106110213707637566866334523,0.69434856655497078094698938897862923624331336654765
0.05,0.05,0.5,0.5,0.016,0.3356291290219034696744372844593040038617219538193,0.3243900951088712282846552184394273545531217455334,0.67560990489112877171534478156057264544687825446661
0.05,0.05,0.5,0.5,0.018,0.3516491983685059958616085069166214880640119800994,0.3401392223798555989888022703842903966207025647622,0.65986077762014440101119772961570960337929743523776
0.05,0.05,0.5,0.5,0.02,0.3652211171081254432083878311360103826963332454641,0.3535012142479624382699867729739243290177535276783,0.64649878575203756173001322702607567098224647232167
0.05,0.05,0.5,0.5,0.022,0.3768271918719956269137542824204247006665462808982,0.364942096350872397931748116689062171783493729055,0.63505790364912760206825188331093782821650627094499
0.05,0.05,0.5,0.5,0.024,0.38684025835400808648431276800767689921618085487,0.3748232946393894761994610265571647115223239545022,0.62517670536061052380053897344283528847767604549777
0.05,0.05,0.5,0.5,0.026,0.3955503179190109085036520656904767434103667362668,0.3834266941060389603835402518866927939847843038692,0.61657330589396103961645974811330720601521569613081
0.05,0.05,0.5,0.5,0.028,0.4031847096631372276019115219247826061971797541563,0.3909737721431725536057562183837641961679952186445,0.60902622785682744639424378161623580383200478135548
0.05,0.05,0.5,0.5,0.03,0.4099231894872520849399883634271164855421846825944,0.3976399880536955510681685948035414608433916847664,0.6023600119463044489318314051964585391566083152336
0.05,0.05,0.5,0.5,0.032,0.415909156469468716469884946329023947567526967805,0.403565546409941188612253378817688013265512577758,0.59643445359005881138774662118231198673448742224196
0.05,0.05,0.5,0.5,0.034,0.4212580212102850075367933924450189465563922482104,0.408863450474866906871288648663216373329157694688,0.59113654952513309312871135133678362667084230531204
0.05,0.05,0.5,0.5,0.036,0.4260634711482879554670676434356917765252666782604,0.4136255504068784526484435086865558136977414465659,0.58637444959312154735155649131344418630225855343414
0.05,0.05,0.5,0.5,0.038,0.430402190698585863723108366284412720252346894724,0.4179271116728606883527221300523734908636166211368,0.58207288832713931164727786994762650913638337886324
0.05,0.05,0.5,0.5,0.04,0.4343374432824647197633858436244799651207613288704,0.4218302896219818092421260043148571013342396772266,0.57816971037801819075787399568514289866576032277336
0.05,0.05,0.5,0.5,0.042,0.4379218109964796407068554593317780837444408315281,0.4253867920630764912342012732353101968082221532789,0.57461320793692350876579872676468980319177784672107
0.05,0.05,0.5,0.5,0.044,0.4411993068910581592430592720274526345601749218546,0.428639935547400678693033097120694944854581215843,0.571360064452599321306966902879305055145418784157
0.05,0.05,0.5,0.5,0.046,0.4442070166457525010186492192748342524108052856048,0.431626245889402574777756396170140015209320202947,0.56837375411059742522224360382985998479067979705342
0.05,0.05,0.5,0.5,0.048,0.4469763845887033432775738578062454523228926030407,0.4343767135998803753435320022354522924788274790108,0.56562328640011962465646799776454770752117252098924
0.05,0.05,0.5,0.5,0.05,0.4495342288642083654128279414464674340740852521803,0.4369177860802604567660349268080842925926065652254,0.56308221391973954323396507319191570740739343477461
0.05,0.05,0.5,0.5,0.052,0.4519035487465796524541838823592433230816530085258,0.4392721575083076419876059120697516705576426875325,0.56072784249169235801239408793024832944235731246748
0.05,0.05,0.5,0.5,0.054,0.4541041712386650921274079357023270853282109372999,0.441459402090134046080877469008070261898228236352,0.55854059790986595391912253099192973810177176364805
0.05,0.05,0.5,0.5,0.056,0.4561532724859600020356240717432160073822277065367,0.4434964851623195902520928759577525868327676630628,0.55650351483768040974790712404224741316723233693724
0.05,0.05,0.5,0.5,0.058,0.4580658009847510347832731043468750292789970502478,0.4453981783655612432073868546183268610403607425102,0.55460182163443875679261314538167313895963925748978
0.05,0.05,0.5,0.5,0.06,0.4598548232171959594510458743477947602473468674626,0.4471773989699946834882182557207825792728248256087,0.55282260103000531651178174427921742072717517439131
0.05,0.05,0.5,0.5,0.062,0.4615318076049052608332596474763976063745238742056,0.4488454888363101872782708078143585191150583433585,0.55115451116368981272172919218564148088494165664146
0.05,0.05,0.5,0.5,0.064,0.463106859104971297952632810928728062386599940223,0.4504124450335635725169795845816237397669354035256,0.5495875549664364274830204154183762602330645964744
0.05,0.05,0.5,0.5,0.066,0.4645889140693069198999969496331496227178451876709,0.4518871115072104889945610728711272047796809615094,0.54811288849278951100543892712887279522031903849062
0.05,0.05,0.5,0.5,0.068,0.4659859029261935651595168015182201076021469019671,0.4532773391843318202740615405470056423106413488558,0.54672266081566817972593845945299435768935865114415
