"sf","sm","hf","hm","r","Xm","Xf","Y"
0.05263157894736842,0.05,0.5,0.5,0.002,0.0682366188529038799053814025081970478860509724858,0.0649536629285413510383839005536120267474768499812,0.92746263055943315873774120463615165672477126914068
0.05263157894736842,0.05,0.5,0.5,0.004,0.1250514820293607171716198157379574721969711543353,0.1193693050529226135317904739869816224860736732007,0.8655150635415396211894771121042249303692002839892
0.05263157894736842,0.05,0.5,0.5,0.006,0.1715836991358467929944914681482097272207999842651,0.164166621206749019867395992527297654816469961848,0.81323713154768414368797557480476571833822331110791
0.05263157894736842,0.05,0.5,0.5,0.008,0.2092856877653346962017409884769839545320012296022,0.2006170473511060411892292732824375988686374941448,0.76935693102798393785930389892483866539590676326669
0.05263157894736842,0.05,0.5,0.5,0.01,0.2396656560368046661874360752776663724914331824977,0.2300900548734646302099855941675466963374876283842,0.73250452792999889556373801390829567314195998213833
0.05263157894736842,0.05,0.5,0.5,0.012,0.2641102546428116255776962498351928229580576106933,0.2538712998870963634475661567801746042114611092992,0.70139380834729505612634608869233142017884651490156
0.05263157894736842,0.05,0.5,0.5,0.014,0.2838018113231922579603471793491980887481511384686,0.2730718853353676381335986460981757172810701895218,0.67491321636351692990545773764544878662308564404682
0.05263157894736842,0.05,0.5,0.5,0.016,0.2997035347512881296681930354468809296778789228822,0.2886055675127268478673972209129722841322156880345,0.65214854748015915025443681532911474920495127595144
0.05263157894736842,0.05,0.5,0.5,0.018,0.31258016066064218482735476221300266599242009966,0.3012028793196051827054680272541299344429501005203,0.63236882531082084489274722828117637006888222429964
0.05263157894736842,0.05,0.5,0.5,0.02,0.323031175902310375229310290508482642800455093351,0.3114395564891751836929557906822239730906776067578,0.61499787530400228732456361923658407954246290822682
0.05263157894736842,0.05,0.5,0.5,0.022,0.3315245258760953948156163906539134431968746970017,0.3197669026003267517772494108923892650877972315388,0.59958395968008748593367832982430599006803126971657
0.05263157894736842,0.05,0.5,0.5,0.024,0.338425872640697987669908571038541394651778933558,0.3265387804614441004780958403561539148998728594988,0.58577278599793225849084377994191590402909641566753
0.05263157894736842,0.05,0.5,0.5,0.026,0.34402220200133194993347189532418852686824110362,0.3320336981397433476285525079968544900683903559855,0.57328542107630082566690093280092904897625376701639
0.05263157894736842,0.05,0.5,0.5,0.028,0.3485401746179306958264197895902889823987778331086,0.3364721400758428452133203887171795043572818983893,0.56190095983048125713126794560035299500896412438583
0.05263157894736842,0.05,0.5,0.5,0.03,0.3521601277292308000045282046758109239170530522429,0.340029881184041177459430939001856135607394688634,0.55144321112360698793930218478263010561940527697931
0.05263157894736842,0.05,0.5,0.5,0.032,0.3550266724411442076751827601561863134322989065285,0.3428481164680437504781519489736295067382273099894,0.54177056810294535623429352763825092004666618531753
0.05263157894736842,0.05,0.5,0.5,0.034,0.3572567002226863171092588646300059293148869444353,0.3450411459762194697275096930091870086261128004074,0.53276832319707327766619232545894866401780860786206
0.05263157894736842,0.05,0.5,0.5,0.036,0.3589454446158631204639860849660943465045122411412,0.3467022128081824598085833512377433310637404060712,0.52434283006214646158714669383463793347378658400157
0.05263157894736842,0.05,0.5,0.5,0.038,0.3601710909456064677619445296844491008151276430394,0.3479079552736625877539398738729584096143222635873,0.51641705137629952557652254393901175776670219438487
0.05263157894736842,0.05,0.5,0.5,0.04,0.3609983023913671677282662810227333222837909784194,0.3487218206373816822522308135653555454476926749678,0.50892714504846100162463772271613972092306390905475
0.05263157894736842,0.05,0.5,0.5,0.042,0.3614809351735382649709948831901883304792810866259,0.3491966992554544728383878312311271887597140391479,0.50181983003606487340101090909509057000446972281942
0.05263157894736842,0.05,0.5,0.5,0.044,0.3616641441794900525749679817007548552285445181597,0.3493769710364710302457038242710257637797599304595,0.4950503398385023138702144235847825077326363555797
0.05263157894736842,0.05,0.5,0.5,0.046,0.3615860277399038853850620020287481969104759415661,0.3493001065446314227335268673432980079054653255863,0.4885808213489431549366096054132827080194606867448
0.05263157894736842,0.05,0.5,0.5,0.048,0.361278921749525283630616757896674346095103824899,0.3489979285379485534622376938489302254601855212215,0.4823790732715111753246530284118434537397454976567
